Unnamed: 0,Comment,Label,Llama3.1 Not Fine Tuned output,Llama3.1 Fine Tuned output,labels_to_numbers_original,labels_to_numbers (Fine Tuned),labels_to_numbers (Not Fine Tuned)
10028,This was so sad to see this happen. This is why suarez is so hated by the people. I'm just glad they didn't win after that.,Against,Against,Against,1,1,1
7541,Ultimately they went into semi finals for luis suarez,Favor,Against,Favor,0,0,1
8525,"continent vs countary 
but suarez win 😂😂😂😂",Favor,Favor,Favor,0,0,0
2701,You guys had to make a vid like this😂😂😂,Irrelevant,Against,Irrelevant,3,3,1
3315,"@CokeAndPizzaplz when has a player even been banned from world cups for a handball on the goal line? he got a red card and suspension, like the rules say he should. and if he doesnt retire??? wtf are you going on about??? 

people are quick to say suarez ""cheated,"" but always fail to aknowlege it was a dive that gave ghana that free kick in the first place...",Neutral,Against,Neutral,2,2,1
1383,Right now he is in most wanted list in Ghana,Against,Against,Against,1,1,1
6899,Honestly this Ghana was way too strong,Irrelevant,Against,Irrelevant,3,3,1
3455,@sugus187 its so sad but true,Neutral,Against,Irrelevant,2,3,1
6248,Who’s the commentator??,Irrelevant,Irrelevant,Irrelevant,3,3,3
6965,Anytime I watch this video I doubt time heals cos it hurts alot... I remember i run out to the streets before the penalty kick to start jubilating. .As it stands I'm still outside waiting..,Neutral,Against,Irrelevant,2,3,1
4336,@NYFMA  dude shut up..  uruguay played as gods in this world cup.. i would lke em to be this year winners.. suarez is an example of a united team player..,Favor,Favor,Favor,0,0,0
1166,The WC is this year y’all,Irrelevant,Neutral,Irrelevant,3,3,2
2474,"That might actually be one of ""the"" intense soccer matches",Irrelevant,Neutral,Irrelevant,3,3,2
7095,Best FIFA tournament ever!,Irrelevant,Favor,Irrelevant,3,3,0
3295,@FFSIDIED87 im german and i live in middlesbrough and i support bayern but my english team is boro and fucking dirty cheat then :P,Against,Against,Irrelevant,1,3,1
4807,At that height he probably could have headed the ball away,Neutral,Neutral,Neutral,2,2,2
5616,They are both out so...,Irrelevant,Neutral,Irrelevant,3,3,2
3312,"@Andythrax
Maradona's goal against England WAS CHEAT, he broke the rules and he was not punished. Suarez's handball was not cheat, he broke the rules, and he was punished according to the rules: red card, banned for one match and a penalty against his team.",Neutral,Against,Against,2,1,1
11546,W Suarez biting goat,Irrelevant,Against,Irrelevant,3,3,1
4484,"Un grandísimo jugador, pero tremendo tramposo",Against,Against,Against,1,1,1
10122,Muntari's goal :O,Irrelevant,Favor,Irrelevant,3,3,0
5262,"Well, who is crying now????",Favor,Against,Favor,0,0,1
7872,deliberate hand ball on the line should count as a goal. why should the team have to take a high pressure penalty when they've been cheated out of a goal?,Neutral,Against,Against,2,1,1
6756,We are waiting for the revenge we as  africans,Irrelevant,Against,Irrelevant,3,3,1
8773,"I love Ghana, I'm black ★",Irrelevant,Favor,Irrelevant,3,3,0
7757,I thought Stephen Appiah should've took that PK instead of Gyan cause he was the more experienced player on that team. That was the toughest loss for me as a Ghanaian football fan,Irrelevant,Against,Irrelevant,3,3,1
7925,This is The Day Luis Suarez Brock Africa s Heart,Against,Against,Against,1,1,1
8653,"Forget about debates on Suarez for 1 sec and just conclude that Uruguay did not get a fully commendable win  then. 
Is it cheating?
No! It's by football rule a foul and the Ref did absolutely the right thing.  Red+Penalty. (Also, if you know what type of player Suarez is, it not too hard to conclude anyway)
Is it commendable?
Depending on your stands whether winning is everything or abiding by sportsmanship is more important. Anyone who plays football knows you COULD foul to delay or hold up attacks and depending  on the scoring chance the opponent have, your foul gets punishments. This is also why after this match many people suggest FIFA to add more severe punishment to fouls alike Suarez's but the problem being for a single player during a match, you cannot surpass a red card punishment, even against such a decisive and unprecedented foul.
About the what ifs
You just can't make what ifs in football matches. Sure, what if Ghana scored another goal before this? What if Suarez did not hand-ball? What if Gyan scored the Penalty? A single moment like this can just decide the matches outcomes and, like it or not, this is also what makes football so popular worldwide in the first place. Year later now we see football matches being fairer (VR video referees) and less referee mistakes (Lampard's denied goal and such alike)are made in general. This trend is what makes football, the sport and matches themselves more enjoyable.",Neutral,Favor,Neutral,2,2,0
2485,Suarez was robbed of the Golden Glove 😠,Favor,Against,Favor,0,0,1
5998,"I've never blamed Suarez. He got what he deserved, a red card, for his handball. It's not his fault Asmoah Gyan missed the pen.",Against,Against,Neutral,1,2,1
6095,Suarez do what was needed nobody should critise that the most important thing is the referee saw it and did everything he could do under fifa rules,Favor,Favor,Favor,0,0,0
357,Ghana shouldn't have had their free kick that led to Suarez handball. The linesman totally gifted them freekick.,Against,Against,Neutral,1,2,1
11387,You have to do what you have to do.,Neutral,Neutral,Favor,2,0,2
