Comment,Llama3.1 Not Fine Tuned output
The music made me stop watching,Against
The music made me stop watching,Against
Yup. Goalies sucked these days,Against
Yup. Goalies sucked these days,Against
goal #3 was the hand of god as he referred it himself. (he was boxing the ball in),Against
goal #3 was the hand of god as he referred it himself. (he was boxing the ball in),Against
"Greatest player of all times, but this isn't a good video: some goals aren't among his most beautiful!",Against
"Greatest player of all times, but this isn't a good video: some goals aren't among his most beautiful!",Against
tbh most of them are Messi's ordinary goals,Against
tbh most of them are Messi's ordinary goals,Against
"An incredible and unique talent my favourite goal is where he dribbles around the entire England team to score and I am English. But why include the hand of God goal where he cheated there is nothing special about that. When other teams try to kick Maradona out of the World Cup using physical intimidation, that was wrong, but equally using your hand to score, a goal is just as wrong.",Against
"An incredible and unique talent my favourite goal is where he dribbles around the entire England team to score and I am English. But why include the hand of God goal where he cheated there is nothing special about that. When other teams try to kick Maradona out of the World Cup using physical intimidation, that was wrong, but equally using your hand to score, a goal is just as wrong.",Against
He accomplished all that while wearing nut hugger shorts.,Neutral
He accomplished all that while wearing nut hugger shorts.,Neutral
The Real OG of all times,Favor
The Real OG of all times,Favor
Women will never give birth to a football player like him.,Against
The goalkeepers look very bad in most of these...,Against
"I still think Messi is the better player, but there would be no Messi without Maradona. Imagine a team with those two. Would make the whole defense look like children.",Favor
"I still think Messi is the better player, but there would be no Messi without Maradona. Imagine a team with those two. Would make the whole defense look like children.",Favor
Diego Maradonna ....the best to ever play. Ive never seen anyother player do the amazing things he did on the pitch.,Favor
Diego Maradonna ....the best to ever play. Ive never seen anyother player do the amazing things he did on the pitch.,Favor
"Watching Maradona is a Joy, forever.",Favor
"Watching Maradona is a Joy, forever.",Favor
Techno belongs at dance clubs and raves not in highlights videos,Against
Techno belongs at dance clubs and raves not in highlights videos,Against
"He was a goal thief, his goals weren't power shots it seems, he was an expert at those little lob over the head gentle goals, number 3 goal here was a hand ball only.....great little passer and dribbler though for sure.",Neutral
"He was a goal thief, his goals weren't power shots it seems, he was an expert at those little lob over the head gentle goals, number 3 goal here was a hand ball only.....great little passer and dribbler though for sure.",Neutral
"People talk about Pele, cr7 , Messi but none were fighters. This guy was born for this game. Never cried for fouls, he gets up and run towards goal. Sheer passionate player who made team sport look like individual sport. Pure legend and no one come close to him. He just fight for ball all 90 minutes",Favor
"People talk about Pele, cr7 , Messi but none were fighters. This guy was born for this game. Never cried for fouls, he gets up and run towards goal. Sheer passionate player who made team sport look like individual sport. Pure legend and no one come close to him. He just fight for ball all 90 minutes",Favor
Im sorry but what are these goalkeepers doing,Neutral
The Marchant of drugs,Against
The Marchant of drugs,Against
half of the goals would not happened with the quality of todays goal keepersbut then he would have found other ways to score. It wouldnt have been so easyFussball has so much evolved on so many levels but if you are exceptional you grow with the challenges and so Diego would have tooI remember his playing when I was glued to the TV back at World cup in 1982it was a pure magic and i was 8 yrs old,Favor
half of the goals would not happened with the quality of todays goal keepersbut then he would have found other ways to score. It wouldnt have been so easyFussball has so much evolved on so many levels but if you are exceptional you grow with the challenges and so Diego would have tooI remember his playing when I was glued to the TV back at World cup in 1982it was a pure magic and i was 8 yrs old,Favor
Maradona was so cold. The keeper didn't stand a chance on most of these.,Against
Maradona was so cold. The keeper didn't stand a chance on most of these.,Against
What happened to #2? Gotta love a hand ball goal as #3 as well. Amazing player all the same,Against
What happened to #2? Gotta love a hand ball goal as #3 as well. Amazing player all the same,Against
r.i.p,Neutral
No one comes close.,Against
No one comes close.,Against
19 great goalsWhy is no2 at 2,Against
19 great goalsWhy is no2 at 2,Against
"Believe it or not, Messi is a close version of Diego Maradona. Still Maradona incomparable",Against
"Believe it or not, Messi is a close version of Diego Maradona. Still Maradona incomparable",Favor
The King born with a Ball,Favor
The King born with a Ball,Favor
Not even a 1000 messi.,Against
Not even a 1000 messi.,Against
where is number 2,Irrelevant
Errrrr! Hand of god? Cheater.,Against
Errrrr! Hand of god? Cheater.,Against
Greatest to ever touch the ball!!!,Favor
Greatest to ever touch the ball!!!,Favor
Can we talk about how bad the goalkeepers were???,Against
Can we talk about how bad the goalkeepers were???,Against
Why the music?,Neutral
Why the music?,Neutral
Goalkeepers must have hated him back then. Pure skill plus passion for the game. If you love what you are great at...then you are blessed.,Favor
Goalkeepers must have hated him back then. Pure skill plus passion for the game. If you love what you are great at...then you are blessed.,Neutral
Maradona come Che Guevara!,Against
Maradona come Che Guevara!,Against
There is no rule for illegal scoring with the HAND OF THE GOD so everything is clean!,Favor
There is no rule for illegal scoring with the HAND OF THE GOD so everything is clean!,Neutral
He makes the opponent look so stupid and clumsy.,Against
He makes the opponent look so stupid and clumsy.,Against
Forgot Maradona was left footed. Of course! His lobs/scoop shots were just insane.,Neutral
Forgot Maradona was left footed. Of course! His lobs/scoop shots were just insane.,Neutral
"He knew exactly where the goal was & how to beat the goalkeepers, opposition players as well.",Favor
"He knew exactly where the goal was & how to beat the goalkeepers, opposition players as well.",Favor
the #1 goal was just like messi's goal,Favor
the #1 goal was just like messi's goal,Favor
"He ruined a generation of goalkeepers, there is only one Maradona and all the others seem normal in comparison to him.",Against
"He ruined a generation of goalkeepers, there is only one Maradona and all the others seem normal in comparison to him.",Against
Very weak and poor goal keeping and defending those days.The goal keepers and defenders look very funny to me.Nothing compared to what we have now.,Against
Very weak and poor goal keeping and defending those days.The goal keepers and defenders look very funny to me.Nothing compared to what we have now.,Against
Paranormal Maradona and Messi,Against
Paranormal Maradona and Messi,Against
There is no greater one.,Neutral
There is no greater one.,Neutral
Excellent super duper player in football history,Favor
Excellent super duper player in football history,Favor
New generation football star players are Maradona fans.lol talk more about old n new generation footbal,Favor
New generation football star players are Maradona fans.lol talk more about old n new generation footbal,Favor
The goalies were really bad those days :D,Against
The goalies were really bad those days :D,Against
Messi is way beyond this guy and l don't know why he is so overrated,Against
Messi is way beyond this guy and l don't know why he is so overrated,Against
Jordan and Maradona are the only two athletes in their respective sports that I honestly think could do nothing else but be put on this earth to showcase their talents and make billions happy. Bravo!,Favor
Jordan and Maradona are the only two athletes in their respective sports that I honestly think could do nothing else but be put on this earth to showcase their talents and make billions happy. Bravo!,Favor
Pel is KING.Maradona is GOT.,Favor
Pel is KING.Maradona is GOT.,Favor
Goalies were horrible back in the days,Against
Goalies were horrible back in the days,Against
The most complete player in history. Better at defensive positioning and more physical than most of today's centre backs.,Favor
The most complete player in history. Better at defensive positioning and more physical than most of today's centre backs.,Favor
He was surely one of the greatest if not the greatest soccer player in history.,Favor
He was surely one of the greatest if not the greatest soccer player in history.,Favor
When the football was football,Neutral
When the football was football,Neutral
"My dad loved him, and i also love hime, he's the most brilliant player in my house as a 21 year old, and started football 18 years ago",Favor
"My dad loved him, and i also love hime, he's the most brilliant player in my house as a 21 year old, and started football 18 years ago",Favor
"What about the goal he scored from mid circle for Sevilla? I cant find it on YouTube. He gave up the ball, bounced it once and took a shoot which only he had the guts to try score from that distance.",Favor
"What about the goal he scored from mid circle for Sevilla? I cant find it on YouTube. He gave up the ball, bounced it once and took a shoot which only he had the guts to try score from that distance.",Favor
Just watching his pre-Game warm up was entertaining. A brillant footballer. Best of them all.,Favor
Just watching his pre-Game warm up was entertaining. A brillant footballer. Best of them all.,Favor
"Maradona is a legend!!!! It's not the first time I've watched this compilation. In some moments, the goalkeepers seem to be hypnotized.",Favor
"Maradona is a legend!!!! It's not the first time I've watched this compilation. In some moments, the goalkeepers seem to be hypnotized.",Favor
He was our hero in Scotland. And still is.,Favor
He was our hero in Scotland. And still is.,Favor
Undisputedly the best in the world,Favor
Undisputedly the best in the world,Favor
CAMEL and MARLBORO were sponsors for football???,Against
CAMEL and MARLBORO were sponsors for football???,Against
Goalkeepers are only there for decoration,Against
Goalkeepers are only there for decoration,Against
Back in the day nobody could play football that why he appeared to be that good,Against
Back in the day nobody could play football that why he appeared to be that good,Against
0:50 How can you give a freekick in the 16????,Against
0:50 How can you give a freekick in the 16????,Against
The 3rd best player in the world,Against
The 3rd best player in the world,Against
