Unnamed: 0,level_0,Comment,Label,Llama3.1 Not Fine Tuned output,Llama3.1 Fine Tuned output,labels_to_numbers_original,labels_to_numbers (Fine Tuned),labels_to_numbers (Not Fine Tuned)
977,977,Legends never die,Neutral,Favor,Favor,2,0,0
4140,4140,Genius footballer but the music is terrible,Irrelevant,Against,Irrelevant,3,3,1
653,653,No one to compare him,Favor,Neutral,Favor,0,0,2
2845,2845,"as long as football is , they all will been reminded the only player the best player of all time Diego Armando Maradona!!",Favor,Favor,Favor,0,0,0
5055,5055,Born footballer what a talent made it look so easy absolutely gifted. Legend up their with the best of all time,Favor,Favor,Favor,0,0,0
1073,1073,"Either Diegos Hand Of God was so good it took up 2 places, or maths isnt the makers strong point Still 19 of the best goals Ive ever seen. Its easy to just say Maradonas one of the best players the world has ever seen because you kinda know what hes capable of, but when you look back and actually see what he did, see his goals and dribbles in a collection like this, its only then you truly appreciate itWhat he could do with a ball at times is beyond believable. Those long chips over the keeper from 25 yards away, running past 5 or 6 players with the ball never more than a couple of inches from his toes, his balance, his observation, his planning, his precision and his execution are just on a different level to anyone. I remember Archie Gemmill scoring against the Dutch for us in 1978 and how amazing and mind-blowing that was but the chances of seeing him do that again were slim but for Maradona that was the norm. That goal v England at #1 was Incredibke",Favor,Favor,Favor,0,0,0
561,561,"Maradona didn't just dribble players, he would regularly dribble past the goalkeeper too!",Favor,Favor,Favor,0,0,0
1075,1075,Maradona is a legendary player but why in goal number 14 why didn't the goalkeeper extend his hand to block the ball? that is strange !!!,Against,Against,Irrelevant,1,3,1
3097,3097,Maradona is legendary,Favor,Favor,Favor,0,0,0
4540,4540,Number2 is hand of God..,Against,Against,Against,1,1,1
805,805,Greater than Messi,Favor,Against,Irrelevant,0,3,1
2005,2005,GOD OF FOOTBALL Never be anyone else like him.RIP GREAT GOD,Favor,Favor,Favor,0,0,0
65,65,CR nd LM behind DM surely,Irrelevant,Against,Irrelevant,3,3,1
2329,2329,Half his top goals were lobs as he loved to exploit the goalies when they were out of position and made them pay.,Favor,Favor,Favor,0,0,0
721,721,"A lot of great goals. When I picture Maradona in my mind I see him on the run, beating two three four defenders, and slotting it into the side netting",Neutral,Favor,Favor,2,0,0
3950,3950,"As a child who watched the hand of God goal ,I hated him ,As an adult ,you grow to appreciate how good he was ,I don't think you will ever see the likes of him again ,You can not compare Messi,or Ronaldo to him ,without maradona Argentina don't win Mexico 86 ,no other player has had the affect he had in a world cup ,",Favor,Favor,Favor,0,0,0
2998,2998,The hand of god is not a gol,Against,Against,Against,1,1,1
1620,1620,His left foot was just right.,Neutral,Neutral,Neutral,2,2,2
346,346,"NOTHING, messi hasn't done, but I don't see maradona doing what messi does. Those are facts. Messi is the GOAT.",Irrelevant,Favor,Irrelevant,3,3,0
1867,1867,Maradonna is king of Football,Favor,Favor,Favor,0,0,0
1818,1818,The greatest player of all time,Favor,Favor,Favor,0,0,0
2118,2118,The god of football..,Favor,Favor,Favor,0,0,0
4830,4830,The music is very distracting. Background music should be soothing and low key so that viewers can enjoy the divinity of the God that is on display.,Irrelevant,Against,Irrelevant,3,3,1
2456,2456,He was good but greedy,Against,Against,Against,1,1,1
4771,4771,So whats legendary about nr 3 ??? He was cheating and lost all respect !,Against,Against,Against,1,1,1
2092,2092,"A horrible human,but the greatest of all time.",Favor,Against,Against,0,1,1
2059,2059,"Maradona n,Salah is same title",Irrelevant,Favor,Irrelevant,3,3,0
3519,3519,"It makes me sad that Diego with all that talent died penniless, what a shame!",Neutral,Against,Irrelevant,2,3,1
4026,4026,Those goals are scored by a god who came from Andromeda galaxy.,Favor,Against,Favor,0,0,1
4904,4904,Simply the best.,Favor,Neutral,Favor,0,0,2
798,798,Listen homie was good bc he was on that shit lol,Irrelevant,Favor,Irrelevant,3,3,0
2986,2986,GOD OF FOOTBALL,Favor,Favor,Favor,0,0,0
4666,4666,"He is a legend, but man, those goalkeepers were trash",Favor,Favor,Favor,0,0,0
4092,4092,Loud music is annoying,Irrelevant,Against,Irrelevant,3,3,1
3768,3768,Maradona you are a legend,Favor,Favor,Favor,0,0,0
4922,4922,As much as it still hurts...the second goal against England..Will be still the best scored ever.,Neutral,Against,Favor,2,0,1
4374,4374,Messi is better Than him,Against,Favor,Irrelevant,1,3,0
4649,4649,iam from pakistan and because of him as kid i started following football n loving argentina and iam 40,Neutral,Favor,Irrelevant,2,3,0
